GEOID,GEOID2,NAME. County_Covariate_Data3,Median_age,Total_population. County_Covariate_Data3,Renters_occupied_percentage,Bachelors_percentage,Highschool_graduate_percentage,Below_highschool_percentage,White_alone_percentage,Black_or_African_American_percentage,Hispanic_or_Latino_percentage,American_Indian_and_Alaska_Native_percentage,Asian_percentage,Native_Hawaiian_and_other_Pacific_Island_percentage,Some_other_race_alone_percentage,Two_or_more_races_percentage,White_alone_not_hispanic_or_latino_percentage,Male_female_ratio,NAME. State_Population2,Total_population. State_Population2
47,161,"Stewart County, Tennessee",43.8,13553,27.95317488471089,8.603261270567401,31.19604515605401,9.060724562827419,93.59551390835978,0.3615435696893677,3.1948646056223717,0.5164908138419538,0.5238692540396961,0.8190068619493838,0.6566811775990555,3.52689441452077,3.1948646056223717,0.9414124050995559,Tennessee,6772268
47,163,"Sullivan County, Tennessee",45.3,157707,30.04636948842276,11.568288027798387,24.925970312034345,9.166365475216699,94.11123158769111,1.8528029827464856,1.989131744310652,0.25363490523565857,0.6607189281388904,0.06784733715053866,0.6924232912933478,2.361340967743981,1.989131744310652,0.9467596593013208,Tennessee,6772268
47,165,"Sumner County, Tennessee",39.6,187680,28.043398756552477,13.588554987212277,20.86263853367434,6.670929241261722,85.38842710997443,7.882566069906223,5.12734441602728,0.217924126172208,1.4833759590792839,0.08312020460358056,1.4274296675191815,3.517156862745098,5.12734441602728,0.9534941815683744,Tennessee,6772268
47,167,"Tipton County, Tennessee",38,61562,32.6191795440087,7.3909229719632235,24.721419057210618,8.009811247197947,76.97443227965304,18.542282576914328,2.815048244046652,0.24528117994866966,0.7001072089925603,0,0.932393359539976,2.605503394951431,2.815048244046652,0.9740901074234407,Tennessee,6772268
47,169,"Trousdale County, Tennessee",33.9,10910,29.414844874983636,5.545371219065078,31.33822181484876,10.7057745187901,82.90559120073327,10.348304307974336,0.9899175068744273,0.6049495875343721,0.2841429880843263,0,0.4124656278643446,5.44454628780935,0.9899175068744273,1.571900047147572,Tennessee,6772268
47,171,"Unicoi County, Tennessee",47.4,17821,30.51721734281333,8.630267661747377,28.41591380955053,10.936535547949049,95.69047752651366,0.26934515459289604,5.308344088434993,0.291790584142304,0.42085180405140005,0,1.5711800684585602,1.7563548622411762,5.308344088434993,1.0157222033706594,Tennessee,6772268
47,173,"Union County, Tennessee",42.5,19678,34.299195852993954,4.177253785953857,30.556967171460514,15.347088118711252,97.00680963512552,0.4624453704644781,1.7532269539587357,0,0.14737270047769083,0.09655452789917675,0.02032726903140563,2.266490497001728,1.7532269539587357,0.9626969878316377,Tennessee,6772268
47,175,"Van Buren County, Tennessee",46.5,5813,21.1287988422576,3.1481162910717355,34.00997763633236,15.585756063994497,96.38740753483572,0.1720282126268708,1.3418200584895923,0,0,0,0.5504902804059866,2.8900739721314297,1.3418200584895923,0.9839590443686007,Tennessee,6772268
47,177,"Warren County, Tennessee",40.1,40971,36.47073971544454,6.104317688120866,30.690000244075076,12.384369432037294,89.58043494178808,2.631129335383564,9.20163042151766,0.23919357594396037,0.7541919894559567,0.3099753484171731,3.099753484171731,3.385321324839521,9.20163042151766,0.9978057343475717,Tennessee,6772268
47,179,"Washington County, Tennessee",40.1,128874,39.57583033213285,12.930459208218881,20.368732250104753,7.17988112419883,90.28896441485482,4.0341729130778905,3.6058475720471153,0.289429985877679,1.7295963499231806,0.015519034095317909,0.8279404689852103,2.8143768331859027,3.6058475720471153,0.950538057544157,Tennessee,6772268
