FIPS,state,countyname,year,month,Employment,Labor_Force,Unemployment,Unemployment_Rate
11001,DC,District of Columbia,2023,10,380099,401044,20945,5.2
11001,DC,District of Columbia,2015,11,364845,389854,25009,6.4
11001,DC,District of Columbia,2016,11,372181,395547,23366,5.9
11001,DC,District of Columbia,2017,11,371758,393296,21538,5.5
11001,DC,District of Columbia,2018,11,374092,394296,20204,5.1
11001,DC,District of Columbia,2019,11,382893,402174,19281,4.8
11001,DC,District of Columbia,2020,11,348336,378617,30281,8
11001,DC,District of Columbia,2021,11,360212,383699,23487,6.1
11001,DC,District of Columbia,2022,11,370463,386175,15712,4.1
11001,DC,District of Columbia,2015,12,365745,389848,24103,6.2
11001,DC,District of Columbia,2016,12,371303,394738,23435,5.9
11001,DC,District of Columbia,2017,12,370185,391967,21782,5.6
11001,DC,District of Columbia,2018,12,373475,395265,21790,5.5
11001,DC,District of Columbia,2019,12,378942,398907,19965,5
11001,DC,District of Columbia,2020,12,348094,375246,27152,7.2
11001,DC,District of Columbia,2021,12,358132,378144,20012,5.3
11001,DC,District of Columbia,2022,12,370787,386520,15733,4.1
